Protein,PName,PepCount,BL_BLUS_pval,BL_OGD_pval,OGD_OGDUS_pval,BL_OGD_FC,BL_BLUS_FC,OGD_OGDUS_FC,BL_Avg,BL_avg2,BL+US,OGD_avg,OGD_avg2,OGD+US
2ABA_MOUSE,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform; AltName: Full=PP2A subunit B isoform B55-alpha; AltName: Full=PP2A subunit B isoform PR55-alpha; AltName: Full=PP2A subunit B isoform R2-alpha; AltName: Full=PP2A subunit B,15,0.35,0.13,0.58,0.40,-0.12,-0.14,25.69,25.69,25.81,25.30,25.30,25.44
2ABB_MOUSE,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B beta isoform; AltName: Full=PP2A subunit B isoform B55-beta; AltName: Full=PP2A subunit B isoform PR55-beta; AltName: Full=PP2A subunit B isoform R2-beta; AltName: Full=PP2A subunit B iso,2,0.45,0.37,0.56,0.40,0.17,-0.32,24.16,24.16,24.00,23.76,23.76,24.08
2ABD_MOUSE,Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform; AltName: Full=PP2A subunit B isoform B55-delta; AltName: Full=PP2A subunit B isoform PR55-delta; AltName: Full=PP2A subunit B isoform R2-delta; AltName: Full=PP2A subunit B,3,0.09,0.01,0.37,0.48,0.32,-0.16,27.69,27.69,27.37,27.21,27.21,27.37
3HIDH_MOUSE,"3-hydroxyisobutyrate dehydrogenase, mitochondrial; Short=HIBADH; EC=1.1.1.31; Flags: Precursor; Accession=Q99L13; Q8BJY2; [Mus musculus (Mouse)]",2,0.22,0.09,0.20,-0.73,0.63,1.07,24.94,24.94,24.30,25.67,25.67,24.60
4F2_MOUSE,4F2 cell-surface antigen heavy chain; Short=4F2hc; AltName: Full=Solute carrier family 3 member 2; AltName: CD_antigen=CD98; Accession=P10852; G3UWA6; Q54AH5; [Mus musculus (Mouse)],3,0.70,0.98,0.30,0.02,0.27,-0.39,23.73,23.73,23.46,23.72,23.72,24.10
5NT3A_MOUSE,Cytosolic 5'-nucleotidase 3A {ECO:0000305|PubMed:16672222}; EC=3.1.3.5 {ECO:0000269|PubMed:16672222}; AltName: Full=7-methylguanosine phosphate-specific 5'-nucleotidase {ECO:0000250|UniProtKB:Q9H0P0}; Short=7-methylguanosine nucleotidase; EC=3.1.3.91 {ECO,2,0.70,0.35,0.95,0.21,0.09,0.01,24.53,24.53,24.44,24.32,24.32,24.31
5NT3B_MOUSE,7-methylguanosine phosphate-specific 5'-nucleotidase {ECO:0000250|UniProtKB:Q9W197}; Short=7-methylguanosine nucleotidase; EC=3.1.3.91 {ECO:0000250|UniProtKB:Q9W197}; AltName: Full=Cytosolic 5'-nucleotidase 3B; AltName: Full=Cytosolic 5'-nucleotidase III-,1,0.50,0.11,0.05,0.86,0.25,-0.90,24.55,24.55,24.30,23.69,23.69,24.59
5NTC_MOUSE,Cytosolic purine 5'-nucleotidase; EC=3.1.3.5; AltName: Full=Cytosolic 5'-nucleotidase II; Accession=Q3V1L4; Q6P223; Q8BZ43; Q9D8G6; [Mus musculus (Mouse)],1,0.09,0.14,,-0.79,-0.55,,22.09,22.09,22.65,22.89,,
6PGD_MOUSE,"6-phosphogluconate dehydrogenase, decarboxylating; EC=1.1.1.44; Accession=Q9DCD0; Q3UD80; [Mus musculus (Mouse)]",25,1.00,0.23,0.76,0.23,0.00,-0.05,28.67,28.67,28.67,28.44,28.44,28.50
6PGL_MOUSE,6-phosphogluconolactonase; Short=6PGL; EC=3.1.1.31; Accession=Q9CQ60; Q3TA62; [Mus musculus (Mouse)],10,0.86,0.08,0.45,-0.36,0.04,0.18,25.30,25.30,25.26,25.66,25.66,25.47
A16A1_MOUSE,Aldehyde dehydrogenase family 16 member A1; Accession=Q571I9; Q3U6I2; Q3UMC3; Q8C0L4; Q8VD78; [Mus musculus (Mouse)],3,0.36,0.65,0.66,-0.25,-0.48,-0.18,22.92,22.92,23.40,23.17,23.17,23.35
A16L1_MOUSE,Autophagy-related protein 16-1; AltName: Full=APG16-like 1; Accession=Q8C0J2; Q6KAT7; Q80U97; Q80U98; Q80U99; Q80Y53; Q9DB63; [Mus musculus (Mouse)],2,0.47,0.95,0.71,-0.04,-0.43,-0.19,22.31,22.31,22.75,22.35,22.35,22.54
A4_MOUSE,Amyloid beta A4 protein; AltName: Full=ABPP; Short=APP; AltName: Full=Alzheimer disease amyloid A4 protein homolog; AltName: Full=Amyloid precursor protein {ECO:0000305}; AltName: Full=Amyloidogenic glycoprotein; Short=AG; AltName: Full=Beta-amyloid precu,3,0.05,0.71,0.91,0.05,-0.34,-0.02,26.43,26.43,26.77,26.38,26.38,26.40
AACS_MOUSE,Acetoacetyl-CoA synthetase; EC=6.2.1.16; Accession=Q9D2R0; A1IG47; Q3TCL8; Q3UD39; [Mus musculus (Mouse)],9,0.16,0.48,0.96,0.16,-0.26,-0.01,26.53,26.53,26.79,26.37,26.37,26.38
AAED1_MOUSE,Thioredoxin-like protein AAED1; AltName: Full=AhpC/TSA antioxidant enzyme domain-containing protein 1; Accession=Q9D1A0; Q3UFP2; Q9CVT8; [Mus musculus (Mouse)],1,0.54,0.60,0.52,0.25,-0.33,-0.35,22.34,22.34,22.68,22.10,22.10,22.44
AAK1_MOUSE,AP2-associated protein kinase 1; EC=2.7.11.1; AltName: Full=Adaptor-associated kinase 1; Accession=Q3UHJ0; B2RUJ0; Q3TY53; Q6ZPZ6; Q80XP6; [Mus musculus (Mouse)],2,0.31,0.63,0.99,0.25,0.45,0.01,23.90,23.90,23.45,23.66,23.66,23.64
AAPK1_MOUSE,5'-AMP-activated protein kinase catalytic subunit alpha-1; Short=AMPK subunit alpha-1; EC=2.7.11.1 {ECO:0000250|UniProtKB:P54645}; AltName: Full=Acetyl-CoA carboxylase kinase; Short=ACACA kinase; EC=2.7.11.27 {ECO:0000250|UniProtKB:P54645}; AltName: Full=,5,0.62,0.21,0.15,0.32,0.13,-0.30,24.46,24.46,24.33,24.14,24.14,24.44
AATC_MOUSE,"Aspartate aminotransferase, cytoplasmic; Short=cAspAT; EC=2.6.1.1; EC=2.6.1.3; AltName: Full=Cysteine aminotransferase, cytoplasmic; AltName: Full=Cysteine transaminase, cytoplasmic; Short=cCAT; AltName: Full=Glutamate oxaloacetate transaminase 1; AltName",2,0.16,0.04,0.80,0.91,0.60,-0.09,25.92,25.92,25.32,25.01,25.01,25.11
AATM_MOUSE,"Aspartate aminotransferase, mitochondrial; Short=mAspAT; EC=2.6.1.1; EC=2.6.1.7; AltName: Full=Fatty acid-binding protein; Short=FABP-1; AltName: Full=Glutamate oxaloacetate transaminase 2; AltName: Full=Kynurenine aminotransferase 4; AltName: Full=Kynure",17,0.98,0.46,0.34,-0.25,0.01,-0.27,28.68,28.68,28.66,28.93,28.93,29.20
ABCD3_MOUSE,ATP-binding cassette sub-family D member 3; AltName: Full=68 kDa peroxisomal membrane protein; Short=PMP68; AltName: Full=70 kDa peroxisomal membrane protein; Short=PMP70; Accession=P55096; [Mus musculus (Mouse)],5,0.28,0.45,0.14,0.20,0.41,0.57,23.98,23.98,23.56,23.78,23.78,23.21
ABCE1_MOUSE,ATP-binding cassette sub-family E member 1; AltName: Full=RNase L inhibitor; AltName: Full=Ribonuclease 4 inhibitor; Short=RNS4I; Accession=P61222; O88793; Q13181; Q13864; Q96AL0; Q96B10; Q99K66; [Mus musculus (Mouse)],11,0.56,0.09,0.98,0.41,0.08,0.01,26.60,26.60,26.52,26.19,26.19,26.18
ABCF1_MOUSE,ATP-binding cassette sub-family F member 1; Accession=Q6P542; Q6NV71; [Mus musculus (Mouse)],20,0.72,0.61,0.54,-0.07,-0.06,0.08,25.16,25.16,25.23,25.23,25.23,25.15
ABCF2_MOUSE,ATP-binding cassette sub-family F member 2; Accession=Q99LE6; Q3UA24; Q8C1S5; Q9JL48; [Mus musculus (Mouse)],5,0.02,0.11,0.87,0.36,0.44,0.05,24.61,24.61,24.17,24.25,24.25,24.19
ABCF3_MOUSE,ATP-binding cassette sub-family F member 3; Accession=Q8K268; Q9JL49; [Mus musculus (Mouse)],2,0.32,,,,0.64,,23.17,,22.52,,,
ABCG2_MOUSE,ATP-binding cassette sub-family G member 2; AltName: Full=Breast cancer resistance protein 1 homolog; AltName: Full=Urate exporter; AltName: CD_antigen=CD338; Accession=Q7TMS5; Q9R004; Q9Z1T0; [Mus musculus (Mouse)],1,0.45,0.24,0.15,0.54,0.38,-0.79,23.26,23.26,22.88,22.71,22.71,23.51
ABD12_MOUSE,Monoacylglycerol lipase ABHD12 {ECO:0000305}; EC=3.1.1.23 {ECO:0000269|PubMed:18096503}; AltName: Full=2-arachidonoylglycerol hydrolase {ECO:0000305}; AltName: Full=Abhydrolase domain-containing protein 12 {ECO:0000305}; Accession=Q99LR1; A2ANB4; Q99M06; ,8,0.10,0.82,0.33,0.08,0.84,0.30,23.76,23.76,22.92,23.69,23.69,23.38
ABHD4_MOUSE,Protein ABHD4 {ECO:0000305}; EC=3.-.-.-; AltName: Full=Alpha/beta hydrolase domain-containing protein 4 {ECO:0000305}; Short=Abhydrolase domain-containing protein 4 {ECO:0000312|MGI:MGI:1915938}; AltName: Full=Alpha/beta-hydrolase 4; AltName: Full=Lyso-N-,1,0.49,0.40,0.85,0.27,0.18,-0.05,23.46,23.46,23.28,23.19,23.19,23.24
ABHD6_MOUSE,"Monoacylglycerol lipase ABHD6 {ECO:0000305}; EC=3.1.1.23 {ECO:0000269|PubMed:18096503, ECO:0000269|PubMed:24095738}; AltName: Full=2-arachidonoylglycerol hydrolase {ECO:0000303|PubMed:18096503}; AltName: Full=Abhydrolase domain-containing protein 6 {ECO:0",1,,,,,,,,,,,,
ABI1_MOUSE,Abl interactor 1; AltName: Full=Abelson interactor 1; Short=Abi-1; AltName: Full=Ablphilin-1; AltName: Full=Eps8 SH3 domain-binding protein; Short=Eps8-binding protein; AltName: Full=Spectrin SH3 domain-binding protein 1; AltName: Full=e3B1; Accession=Q8C,7,0.56,0.27,0.47,0.25,-0.10,-0.19,25.47,25.47,25.56,25.21,25.21,25.40
ABI2_MOUSE,Abl interactor 2; AltName: Full=Abelson interactor 2; Short=Abi-2; Accession=P62484; Q6PHU3; [Mus musculus (Mouse)],2,0.66,0.48,0.51,-0.24,-0.13,0.26,23.93,23.93,24.06,24.17,24.17,23.91
ABLM1_MOUSE,Actin-binding LIM protein 1; Short=abLIM-1; AltName: Full=Actin-binding LIM protein family member 1; Accession=Q8K4G5; Q80U86; Q8BIR9; Q8K4G3; Q8K4G4; [Mus musculus (Mouse)],5,0.92,0.34,0.80,0.30,0.03,-0.07,24.26,24.26,24.23,23.96,23.96,24.04
ACACA_MOUSE,Acetyl-CoA carboxylase 1; Short=ACC1; EC=6.4.1.2 {ECO:0000269|PubMed:20952656}; AltName: Full=ACC-alpha; AltName: Full=Acetyl-CoA carboxylase 265; Includes: Biotin carboxylase; EC=6.3.4.14 {ECO:0000269|PubMed:20952656}; Accession=Q705X9; Q91VC8; Q925C4; Q,4,0.83,0.45,0.58,0.26,-0.06,-0.18,23.65,23.65,23.70,23.39,23.39,23.58
ACAD8_MOUSE,"Isobutyryl-CoA dehydrogenase, mitochondrial; EC=1.3.99.-; AltName: Full=Acyl-CoA dehydrogenase family member 8; Short=ACAD-8; Flags: Precursor; Accession=Q9D7B6; Q8BK36; Q8BKQ8; Q8CFY9; Q9D2L8; [Mus musculus (Mouse)]",2,0.53,0.73,0.35,0.17,0.26,0.48,23.57,23.57,23.30,23.40,23.40,22.93
ACAD9_MOUSE,"Acyl-CoA dehydrogenase family member 9, mitochondrial; Short=ACAD-9; EC=1.3.99.-; Flags: Precursor; Accession=Q8JZN5; Q3ULL9; Q8BK76; Q8C0B5; [Mus musculus (Mouse)]",2,0.58,0.17,0.68,-0.30,-0.19,0.12,23.24,23.24,23.43,23.53,23.53,23.41
ACADL_MOUSE,"Long-chain specific acyl-CoA dehydrogenase, mitochondrial; Short=LCAD; EC=1.3.8.8; Flags: Precursor; Accession=P51174; B2KGC6; O35302; Q8QZR6; Q9CU29; Q9DB83; [Mus musculus (Mouse)]",20,0.90,0.77,0.94,-0.05,-0.02,-0.01,26.60,26.60,26.62,26.65,26.65,26.66
ACADM_MOUSE,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial; Short=MCAD; EC=1.3.8.7; Flags: Precursor; Accession=P45952; Q64235; [Mus musculus (Mouse)]",11,0.59,0.71,0.90,-0.08,-0.12,-0.03,26.35,26.35,26.47,26.43,26.43,26.46
ACADS_MOUSE,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial; Short=SCAD; EC=1.3.8.1; AltName: Full=Butyryl-CoA dehydrogenase; Flags: Precursor; Accession=Q07417; Q91W85; [Mus musculus (Mouse)]",4,0.18,0.52,0.66,-0.21,-0.37,-0.11,26.90,26.90,27.27,27.11,27.11,27.22
ACADV_MOUSE,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial; EC=1.3.8.9; AltName: Full=MVLCAD; Short=VLCAD; Flags: Precursor; Accession=P50544; O35289; O55133; [Mus musculus (Mouse)]",13,0.90,0.83,0.99,0.03,0.01,0.00,26.60,26.60,26.59,26.57,26.57,26.57
ACATN_MOUSE,Acetyl-coenzyme A transporter 1; Short=AT-1; Short=Acetyl-CoA transporter 1; AltName: Full=Solute carrier family 33 member 1; Accession=Q99J27; Q9WTN1; [Mus musculus (Mouse)],1,0.82,0.81,0.79,0.07,-0.06,-0.09,23.88,23.88,23.93,23.80,23.80,23.89
ACBD5_MOUSE,Acyl-CoA-binding domain-containing protein 5; Accession=Q5XG73; A2AQX9; A2AQY0; Q6P7V7; Q7TSC2; Q8BKU6; Q8CI99; Q9CW41; [Mus musculus (Mouse)],1,,,,,,,,,,,,
ACBP_MOUSE,Acyl-CoA-binding protein; Short=ACBP; AltName: Full=Diazepam-binding inhibitor; Short=DBI; AltName: Full=Endozepine; Short=EP; Accession=P31786; [Mus musculus (Mouse)],2,0.25,0.95,0.29,-0.06,-0.71,-1.61,23.02,23.02,23.73,23.07,23.07,24.68
ACDSB_MOUSE,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial; Short=SBCAD; EC=1.3.8.5; AltName: Full=2-methyl branched chain acyl-CoA dehydrogenase; Short=2-MEBCAD; AltName: Full=2-methylbutyryl-coenzyme A dehydrogenase; Short=2-methylbutyryl-CoA d",7,0.63,0.91,0.95,0.02,-0.11,-0.02,24.27,24.27,24.38,24.25,24.25,24.27
ACINU_MOUSE,Apoptotic chromatin condensation inducer in the nucleus; Short=Acinus; Accession=Q9JIX8; B8JJ87; Q9CSN7; Q9CSR9; Q9CSX7; Q9R046; Q9R047; [Mus musculus (Mouse)],12,0.02,0.12,0.63,-0.26,-0.43,-0.11,24.96,24.96,25.39,25.23,25.23,25.33
ACLY_MOUSE,ATP-citrate synthase; EC=2.3.3.8; AltName: Full=ATP-citrate (pro-S-)-lyase; AltName: Full=Citrate cleavage enzyme; Accession=Q91V92; [Mus musculus (Mouse)],13,0.62,0.32,0.81,0.16,-0.07,0.04,26.10,26.10,26.17,25.94,25.94,25.90
ACO10_MOUSE,"Acyl-coenzyme A thioesterase 10, mitochondrial; Short=Acyl-CoA thioesterase 10; EC=3.1.2.-; AltName: Full=Mitochondrial 48 kDa acyl-CoA thioester hydrolase 2; Short=Mt-ACT48.2; Flags: Precursor; Accession=Q32MW3; A0FJF7; Q32MW2; [Mus musculus (Mouse)]",3,0.22,0.12,0.80,-1.00,-0.74,-0.09,24.27,24.27,25.01,25.27,25.27,25.36
ACO11_MOUSE,Acyl-coenzyme A thioesterase 11; Short=Acyl-CoA thioesterase 11; EC=3.1.2.-; AltName: Full=Acyl-CoA thioester hydrolase 11; AltName: Full=Adipose-associated thioesterase; AltName: Full=Brown fat-inducible thioesterase; Short=BFIT; Accession=Q8VHQ9; [Mus m,1,0.58,0.94,0.55,0.05,0.23,0.39,24.90,24.90,24.67,24.85,24.85,24.47
ACO13_MOUSE,"Acyl-coenzyme A thioesterase 13; Short=Acyl-CoA thioesterase 13; EC=3.1.2.-; AltName: Full=Thioesterase superfamily member 2; Contains: Acyl-coenzyme A thioesterase 13, N-terminally processed; Accession=Q9CQR4; [Mus musculus (Mouse)]",3,0.72,0.15,0.56,1.00,-0.11,0.48,23.62,23.62,23.73,22.62,22.62,22.14
ACOC_MOUSE,Cytoplasmic aconitate hydratase; Short=Aconitase; EC=4.2.1.3; AltName: Full=Citrate hydro-lyase; AltName: Full=Iron regulatory protein 1; Short=IRP1; AltName: Full=Iron-responsive element-binding protein 1; Short=IRE-BP 1; Accession=P28271; Q3TQ15; Q99K54,5,0.74,0.16,0.28,0.56,-0.09,-0.36,24.22,24.22,24.31,23.66,23.66,24.01
ACON_MOUSE,"Aconitate hydratase, mitochondrial; Short=Aconitase; EC=4.2.1.3; AltName: Full=Citrate hydro-lyase; Flags: Precursor; Accession=Q99KI0; Q3UDK9; Q3ULG9; Q3UNH7; Q505P4; [Mus musculus (Mouse)]",46,0.67,0.51,0.98,-0.08,-0.04,0.00,28.36,28.36,28.41,28.44,28.44,28.44
ACOT9_MOUSE,"Acyl-coenzyme A thioesterase 9, mitochondrial; Short=Acyl-CoA thioesterase 9; EC=3.1.2.-; AltName: Full=Acyl coenzyme A thioester hydrolase 2; Short=MTE-2; AltName: Full=Acyl-CoA thioester hydrolase 9; AltName: Full=Mitochondrial 48 kDa acyl-CoA thioester",9,0.54,0.96,0.32,0.01,-0.12,-0.13,25.53,25.53,25.66,25.52,25.52,25.65
ACOX1_MOUSE,Peroxisomal acyl-coenzyme A oxidase 1; Short=AOX; EC=1.3.3.6; AltName: Full=Palmitoyl-CoA oxidase; Accession=Q9R0H0; A2A850; O35616; Q3TDG0; Q8BYC3; [Mus musculus (Mouse)],2,0.03,0.56,0.18,0.26,1.09,-0.55,23.38,23.38,22.29,23.12,23.12,23.68
ACOX3_MOUSE,Peroxisomal acyl-coenzyme A oxidase 3; EC=1.3.3.6; AltName: Full=Branched-chain acyl-CoA oxidase; Short=BRCACox; AltName: Full=Pristanoyl-CoA oxidase; Accession=Q9EPL9; Q7TPP6; Q80UQ0; [Mus musculus (Mouse)],3,0.17,0.05,0.60,1.10,0.54,-0.33,23.68,23.68,23.14,22.58,22.58,22.91
ACSF2_MOUSE,"Acyl-CoA synthetase family member 2, mitochondrial; EC=6.2.1.-; Flags: Precursor; Accession=Q8VCW8; Q3TDU9; Q3U5G9; [Mus musculus (Mouse)]",4,0.83,0.99,0.99,-0.01,0.10,0.00,24.48,24.48,24.37,24.48,24.48,24.49
ACSL1_MOUSE,Long-chain-fatty-acid--CoA ligase 1; EC=6.2.1.3; AltName: Full=Long-chain acyl-CoA synthetase 1; Short=LACS 1; Accession=P41216; Q6GTG6; Q9DBK5; [Mus musculus (Mouse)],1,,,0.96,,,-0.02,,,,,22.72,22.74
ACSL4_MOUSE,Long-chain-fatty-acid--CoA ligase 4; EC=6.2.1.3; AltName: Full=Long-chain acyl-CoA synthetase 4; Short=LACS 4; Short=mACS4; Accession=Q9QUJ7; Q5D071; Q9JHT4; Q9R0H3; [Mus musculus (Mouse)],2,0.58,0.71,0.75,0.12,-0.22,0.13,23.78,23.78,24.00,23.65,23.65,23.52
ACSL5_MOUSE,Long-chain-fatty-acid--CoA ligase 5; EC=6.2.1.3; AltName: Full=Long-chain acyl-CoA synthetase 5; Short=LACS 5; Accession=Q8JZR0; [Mus musculus (Mouse)],4,0.10,0.30,0.95,-0.13,-0.19,0.01,24.85,24.85,25.04,24.98,24.98,24.97
ACTA_MOUSE,"Actin, aortic smooth muscle; AltName: Full=Alpha-actin-2; Flags: Precursor; Accession=P62737; P03996; P04108; [Mus musculus (Mouse)]",28,0.69,0.69,0.93,0.06,-0.04,-0.01,35.47,35.47,35.51,35.41,35.41,35.42
ACTB_MOUSE,"Actin, cytoplasmic 1; AltName: Full=Beta-actin; Contains: Actin, cytoplasmic 1, N-terminally processed; Accession=Q6ZWM3; [Mus musculus (Mouse)]",74,0.45,0.98,0.64,0.00,-0.06,0.04,34.13,34.13,34.18,34.12,34.12,34.08
ACTBL_MOUSE,Beta-actin-like protein 2; AltName: Full=Kappa-actin; Accession=Q8BFZ3; [Mus musculus (Mouse)],15,0.98,0.89,0.26,0.01,0.00,-0.10,32.86,32.86,32.86,32.85,32.85,32.95
ACTC_MOUSE,"Actin, alpha cardiac muscle 1; AltName: Full=Alpha-cardiac actin; Flags: Precursor; Accession=P68033; P04270; [Mus musculus (Mouse)]",39,0.51,0.27,0.19,0.13,-0.09,-0.15,32.85,32.85,32.94,32.72,32.72,32.87
ACTG_MOUSE,"Actin, cytoplasmic 2; AltName: Full=Gamma-actin; Contains: Actin, cytoplasmic 2, N-terminally processed; Accession=P63260; P02571; P14104; P99022; [Mus musculus (Mouse)]",66,0.40,0.88,0.74,0.01,-0.08,0.04,34.78,34.78,34.86,34.77,34.77,34.73
ACTH_MOUSE,"Actin, gamma-enteric smooth muscle; AltName: Full=Alpha-actin-3; AltName: Full=Gamma-2-actin; AltName: Full=Smooth muscle gamma-actin; Flags: Precursor; Accession=P63268; P12718; [Mus musculus (Mouse)]",26,0.81,0.37,0.67,0.10,0.03,0.04,30.35,30.35,30.32,30.25,30.25,30.21
ACTN1_MOUSE,Alpha-actinin-1; AltName: Full=Alpha-actinin cytoskeletal isoform; AltName: Full=F-actin cross-linking protein; AltName: Full=Non-muscle alpha-actinin-1; Accession=Q7TPR4; [Mus musculus (Mouse)],22,0.25,0.40,0.01,0.13,-0.18,-0.41,28.62,28.62,28.80,28.49,28.49,28.90
ACTN3_MOUSE,Alpha-actinin-3; AltName: Full=Alpha-actinin skeletal muscle isoform 3; AltName: Full=F-actin cross-linking protein; Accession=O88990; Q14DS8; [Mus musculus (Mouse)],1,0.89,0.84,0.56,0.20,0.23,-0.47,21.32,21.32,21.09,21.13,21.13,21.60
ACTN4_MOUSE,Alpha-actinin-4 {ECO:0000305}; AltName: Full=Non-muscle alpha-actinin 4 {ECO:0000305}; Accession=P57780; [Mus musculus (Mouse)],8,0.71,0.70,0.50,0.10,-0.11,-0.16,28.87,28.87,28.98,28.76,28.76,28.93
ACTS_MOUSE,"Actin, alpha skeletal muscle; AltName: Full=Alpha-actin-1; Flags: Precursor; Accession=P68134; P02568; P99020; [Mus musculus (Mouse)]",34,0.73,0.86,0.96,-0.03,-0.06,0.01,34.58,34.58,34.64,34.60,34.60,34.60
ACTY_MOUSE,Beta-centractin; AltName: Full=Actin-related protein 1B; Short=ARP1B; Accession=Q8R5C5; [Mus musculus (Mouse)],11,0.14,0.41,0.47,-0.15,-0.29,0.07,27.40,27.40,27.69,27.56,27.56,27.48
ACTZ_MOUSE,Alpha-centractin; Short=Centractin; AltName: Full=ARP1; AltName: Full=Actin-RPV; AltName: Full=Centrosome-associated actin homolog; Accession=P61164; P42024; Q3TJF9; [Mus musculus (Mouse)],7,0.46,0.25,0.81,0.36,-0.11,0.07,26.86,26.86,26.98,26.50,26.50,26.43
ACY1_MOUSE,Aminoacylase-1; Short=ACY-1; EC=3.5.1.14; AltName: Full=N-acyl-L-amino-acid amidohydrolase; Accession=Q99JW2; Q9CR15; [Mus musculus (Mouse)],1,0.64,0.91,0.91,-0.05,0.24,0.06,23.46,23.46,23.21,23.51,23.51,23.45
ADA_MOUSE,Adenosine deaminase; EC=3.5.4.4; AltName: Full=Adenosine aminohydrolase; Accession=P03958; [Mus musculus (Mouse)],2,0.86,0.66,0.37,-0.35,0.12,-0.57,23.14,23.14,23.02,23.49,23.49,24.06
ADA17_MOUSE,Disintegrin and metalloproteinase domain-containing protein 17; Short=ADAM 17; EC=3.4.24.86; AltName: Full=TNF-alpha convertase; AltName: Full=TNF-alpha-converting enzyme; AltName: CD_antigen=CD156b; Flags: Precursor; Accession=Q9Z0F8; O88726; Q505A7; Q9R,1,,,0.18,,,0.68,,,,,23.72,23.04
